state,abbr,tax_2011,tax_2017,delta_tax,num_of_preemptions,bar_restrictions,work_restrictions,restaurant_restrictions,funding_per_capita,expenditures_per_capita,percent_funding_used,fee_for_service_plans,managed_care_plans,quitline_calls_per_10000,region,division,year,percent
Massachusetts,MA,2.51,3.51,1,1,Banned,Banned,Banned,0.97,1.18,121.64948453608248,Yes,Yes,2.15,Northeast,New England,2013,16.6
Massachusetts,MA,2.51,3.51,1,1,Banned,Banned,Banned,0.97,1.18,121.64948453608248,Yes,Yes,2.15,Northeast,New England,2012,16.4
Massachusetts,MA,2.51,3.51,1,1,Banned,Banned,Banned,0.97,1.18,121.64948453608248,Yes,Yes,2.15,Northeast,New England,2011,18.2
Michigan,MI,2,2,0,4,Banned,Banned,Banned,0.48,0.39,81.25,No,No,3.975,Midwest,East North Central,2017,19.3
Michigan,MI,2,2,0,4,Banned,Banned,Banned,0.48,0.39,81.25,No,No,3.975,Midwest,East North Central,2016,20.4
Michigan,MI,2,2,0,4,Banned,Banned,Banned,0.48,0.39,81.25,No,No,3.975,Midwest,East North Central,2015,20.7
Michigan,MI,2,2,0,4,Banned,Banned,Banned,0.48,0.39,81.25,No,No,3.975,Midwest,East North Central,2014,21.2
Michigan,MI,2,2,0,4,Banned,Banned,Banned,0.48,0.39,81.25,No,No,3.975,Midwest,East North Central,2013,21.4
Michigan,MI,2,2,0,4,Banned,Banned,Banned,0.48,0.39,81.25,No,No,3.975,Midwest,East North Central,2012,23.3
Michigan,MI,2,2,0,4,Banned,Banned,Banned,0.48,0.39,81.25,No,No,3.975,Midwest,East North Central,2011,23.3
Minnesota,MN,1.23,3.04,1.81,0,Banned,Banned,Banned,3.95,4.35,110.126582278481,Yes,Yes,5.775,Midwest,West North Central,2017,14.5
Minnesota,MN,1.23,3.04,1.81,0,Banned,Banned,Banned,3.95,4.35,110.126582278481,Yes,Yes,5.775,Midwest,West North Central,2016,15.2
Minnesota,MN,1.23,3.04,1.81,0,Banned,Banned,Banned,3.95,4.35,110.126582278481,Yes,Yes,5.775,Midwest,West North Central,2015,16.2
Minnesota,MN,1.23,3.04,1.81,0,Banned,Banned,Banned,3.95,4.35,110.126582278481,Yes,Yes,5.775,Midwest,West North Central,2014,16.3
Minnesota,MN,1.23,3.04,1.81,0,Banned,Banned,Banned,3.95,4.35,110.126582278481,Yes,Yes,5.775,Midwest,West North Central,2013,18
Minnesota,MN,1.23,3.04,1.81,0,Banned,Banned,Banned,3.95,4.35,110.126582278481,Yes,Yes,5.775,Midwest,West North Central,2012,18.8
Minnesota,MN,1.23,3.04,1.81,0,Banned,Banned,Banned,3.95,4.35,110.126582278481,Yes,Yes,5.775,Midwest,West North Central,2011,19.1
Mississippi,MS,0.68,0.68,0,2,None,None,None,4.37,4.38,100.22883295194508,No,No,12.425,South,East South Central,2017,22.2
Mississippi,MS,0.68,0.68,0,2,None,None,None,4.37,4.38,100.22883295194508,No,No,12.425,South,East South Central,2016,22.7
Mississippi,MS,0.68,0.68,0,2,None,None,None,4.37,4.38,100.22883295194508,No,No,12.425,South,East South Central,2015,22.5
Mississippi,MS,0.68,0.68,0,2,None,None,None,4.37,4.38,100.22883295194508,No,No,12.425,South,East South Central,2014,23
Mississippi,MS,0.68,0.68,0,2,None,None,None,4.37,4.38,100.22883295194508,No,No,12.425,South,East South Central,2013,24.8
Mississippi,MS,0.68,0.68,0,2,None,None,None,4.37,4.38,100.22883295194508,No,No,12.425,South,East South Central,2012,24
Mississippi,MS,0.68,0.68,0,2,None,None,None,4.37,4.38,100.22883295194508,No,No,12.425,South,East South Central,2011,26
Missouri,MO,0.17,0.17,0,0,Designated Areas,Designated Areas,Designated Areas,0.36,0.39,108.33333333333334,Yes,Yes,6.75,Midwest,West North Central,2017,20.8
Missouri,MO,0.17,0.17,0,0,Designated Areas,Designated Areas,Designated Areas,0.36,0.39,108.33333333333334,Yes,Yes,6.75,Midwest,West North Central,2016,22.1
Missouri,MO,0.17,0.17,0,0,Designated Areas,Designated Areas,Designated Areas,0.36,0.39,108.33333333333334,Yes,Yes,6.75,Midwest,West North Central,2015,22.3
Missouri,MO,0.17,0.17,0,0,Designated Areas,Designated Areas,Designated Areas,0.36,0.39,108.33333333333334,Yes,Yes,6.75,Midwest,West North Central,2014,20.6
